FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2000,2011,2021
A,Annual,ABW,Aruba,WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,12.1,12.4,4.3
A,Annual,AFE,Africa Eastern and Southern,WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,,4.5871813771,7.3819408077
A,Annual,AFG,Afghanistan,WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,,7.6,10.9
A,Annual,AFW,Africa Western and Central,WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,,4.4127391444,3.3898048977
A,Annual,AGO,Angola,WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,,2.9,4.6
A,Annual,ALB,Albania,WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,,2.8,10.2
A,Annual,AND,Andorra,WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,,5.4,9.7
A,Annual,ARB,Arab World,WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,,12.0885376822,14.1154481783
A,Annual,ARE,United Arab Emirates,WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,,18.8,16.4
A,Annual,ARG,Argentina,WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,,5.5,5.4
A,Annual,ARM,Armenia,WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,,8.5,5.6
A,Annual,ASM,American Samoa,WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,,,20.3
A,Annual,ATG,Antigua and Barbuda,WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,,12.5,11.7
A,Annual,AUS,Australia,WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,0.0,6.6,6.4
A,Annual,AUT,Austria,WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,,6.6,4.6
A,Annual,AZE,Azerbaijan,WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,,2.8,5.6
A,Annual,BDI,Burundi,WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,,2.7,6.5
A,Annual,BEL,Belgium,WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,,4.8,3.6
A,Annual,BEN,Benin,WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,,2.0,1.1
A,Annual,BFA,Burkina Faso,WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,,3.0,2.1
A,Annual,BGD,Bangladesh,WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,,10.5,14.2
